0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/17.jpg HTTP/1.1" 200 15097
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/16.jpg HTTP/1.1" 200 8978
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/15.jpg HTTP/1.1" 200 49348
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/14.jpg HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/27.jpg HTTP/1.1" 200 11999
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/28.jpg HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/29.jpg HTTP/1.1" 200 13024
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/30.jpg HTTP/1.1" 200 30861
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/31.jpg HTTP/1.1" 200 40568
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/img/32.jpg HTTP/1.1" 200 35757
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/images/%E9%A6%96%E9%A1%B5/regen/u69.png HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/resources/images/transparent.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /CLWebDemo/images/%E6%99%AE%E9%80%9A%E7%94%A8%E6%88%B7%E7%99%BB%E5%BD%95%EF%BC%8D%E8%B4%A6%E5%8F%B7%E7%99%BB%E5%BD%95/u233.png HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:06:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:00 +0800] "GET /CLWebDemo/userLogin.jsp HTTP/1.1" 200 7865
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:00 +0800] "GET /CLWebDemo/js/jquery.js HTTP/1.1" 200 267739
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:00 +0800] "GET /CLWebDemo/files/%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81%EF%BC%8D%E4%BF%AE%E6%94%B9%E6%88%90%E5%8A%9F/styles.css HTTP/1.1" 200 12455
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:00 +0800] "GET /CLWebDemo/files/%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81%EF%BC%8D%E4%BF%AE%E6%94%B9%E6%88%90%E5%8A%9F/data.js HTTP/1.1" 200 12664
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:03 +0800] "POST /CLWebDemo/login.do?uname=164361301&upwd=16436130 HTTP/1.1" 500 12
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:04 +0800] "GET /CLWebDemo/userLogin.jsp HTTP/1.1" 200 7865
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:36 +0800] "GET /CLWebDemo/userRegister.jsp HTTP/1.1" 200 6949
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:36 +0800] "GET /CLWebDemo/files/%E7%94%A8%E6%88%B7%E6%B3%A8%E5%86%8C/styles.css HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:36 +0800] "GET /CLWebDemo/files/%E7%94%A8%E6%88%B7%E6%B3%A8%E5%86%8C/data.js HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:51 +0800] "POST /CLWebDemo/register.do?uname=16436130&upwd=123123 HTTP/1.1" 500 12
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:07:53 +0800] "GET /CLWebDemo/userLogin.jsp HTTP/1.1" 200 7865
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:09 +0800] "POST /CLWebDemo/login.do?uname=16436130&upwd=123123 HTTP/1.1" 500 12
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/homePageLogged.jsp HTTP/1.1" 200 42441
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/files/%E7%99%BB%E5%BD%95%E9%A6%96%E9%A1%B5/styles.css HTTP/1.1" 200 104816
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/files/%E7%99%BB%E5%BD%95%E9%A6%96%E9%A1%B5/data.js HTTP/1.1" 200 113086
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/images/%E9%A6%96%E9%A1%B5/regen/u40.png HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/images/%E9%A6%96%E9%A1%B5/regen/u38.png HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/img/1.png HTTP/1.1" 200 12207
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:08:11 +0800] "GET /CLWebDemo/images/%E9%A6%96%E9%A1%B5/regen/u87.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:10:20 +0800] "GET /CLWebDemo/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B.html HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:10:30 +0800] "GET /CLWebDemo/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B.html HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:11:30 +0800] "GET /CLWebDemo/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B.html HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:18 +0800] "GET /CLWebDemo/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B.html HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/allCoursesLogged.jsp HTTP/1.1" 200 32764
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/2.jpg HTTP/1.1" 200 10187
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/1.jpg HTTP/1.1" 200 18510
